Product Name,Category,Price,Description,Stock
Amethyst Crystal,Crystals,$25,Purple crystal for calmness and clarity,In Stock
Clear Quartz,Crystals,$20,Master healer crystal amplifying energy,In Stock
Rose Quartz,Crystals,$18,Stone of love and compassion,In Stock
Citrine,Crystals,$22,Yellow crystal for abundance and joy,In Stock
Black Tourmaline,Crystals,$28,Protective stone against negativity,In Stock
Selenite,Crystals,$15,White crystal for cleansing and purification,In Stock
Labradorite,Crystals,$30,Iridescent stone for transformation,In Stock
Moonstone,Crystals,$24,Opalescent crystal enhancing intuition,In Stock
Carnelian,Crystals,$19,Orange stone for motivation and courage,In Stock
Hematite,Crystals,$12,Silver-gray stone for grounding,In Stock
Ruby,Gems,$100,Red gemstone symbolizing passion,In Stock
Sapphire,Gems,$120,Blue gem of wisdom and royalty,In Stock
Emerald,Gems,$150,Green gem representing growth and renewal,In Stock
Diamond,Gems,$500,Brilliant gem of purity and strength,In Stock
Opal,Gems,$80,Iridescent gem for creativity,In Stock
Garnet,Gems,$40,Deep red gem for vitality,In Stock
Aquamarine,Gems,$60,Light blue gem for calmness,In Stock
Topaz,Gems,$70,Yellow gem for clarity of mind,In Stock
Amethyst Gem,Gems,$90,Purple gem for spiritual awareness,In Stock
Peridot,Gems,$50,Olive green gem for prosperity,In Stock
Granite Specimen,Rocks,$10,Natural granite rock sample,In Stock
Marble Slab,Rocks,$15,Polished marble piece,In Stock
Obsidian,Rocks,$20,Volcanic glass rock,In Stock
Sandstone,Rocks,$12,Sedimentary rock formation,In Stock
Limestone,Rocks,$14,Calcareous sedimentary rock,In Stock
Basalt,Rocks,$18,Igneous volcanic rock,In Stock
Quartzite,Rocks,$16,Metamorphic quartz rock,In Stock
Slate,Rocks,$13,Fine-grained metamorphic rock,In Stock
Gneiss,Rocks,$17,Banded metamorphic rock,In Stock
Schist,Rocks,$19,Foliated metamorphic rock,In Stock
Sound Bath Session,Services,$50,60-minute sound healing with bowls,Available
Reiki Healing Session,Services,$75,Energy healing and balancing,Available
Crystal Healing Therapy,Services,$60,Chakra alignment with crystals,Available
Guided Meditation,Services,$40,Group meditation session,Available
Tarot Reading,Services,$30,Personal insight and guidance,Available